model,scenario,region,variable,unit,year,value,data_source
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.674439421602678,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.998246655119093,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.774333480229563,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,15.38128954589022,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,17.21120714727609,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,19.117412941265144,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,21.019585837013178,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,22.98560362451913,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,25.01275693461371,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.7812980259384,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,15.390525329522099,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,17.252120880120533,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,19.12818006505699,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,21.022595433479804,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,22.98981193761634,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,25.026899823405998,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-95th,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.784444548634747,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-95th,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,15.387178919576636,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-95th,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,17.2335662421198,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-95th,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,19.08757712610701,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-95th,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,20.937969369274473,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-95th,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,22.837928731198335,ar6
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-95th,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,24.788261713700226,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.998744852874609,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.787298951768932,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,21.13525674189908,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,25.032190234671575,ar6
